PBO Station Position Time Series.,,,,,,,
Format Version, 1.2.0,,,,,,
Reference Frame, IGS08,,,,,,
4-character ID, P316,,,,,,
Station name, RequaYurokCN2006,,,,,,
Begin Date, 2006-07-01,,,,,,
End Date, 2017-03-20,,,,,,
Release Date, 2017-03-22,,,,,,
Source file, P316.pbo.igs08.pos,,,,,,
Offset from source file, -3.66 mm North, -46.25 mm East, -3.42 mm Vertical,,,,
Reference position, 41.5591334341 North Latitude, -124.0861440056 East Longitude, 234.98198 meters elevation,,,,
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality
2006-07-01,0,0,0,2.1,1.67,7.42, repro
2006-07-02,-1.3,-0.32,3.03,2.01,1.61,7.11, repro
2006-07-03,-1.16,-2.33,-10.7,1.98,1.6,7.05, repro
2006-07-04,-3.02,-0.47,-0.63,2.03,1.62,7.17, repro
2006-07-05,-3.73,-0.55,-2.67,1.97,1.58,6.97, repro
2006-07-06,-0.99,-0.81,-0.56,1.82,1.47,6.45, repro
2006-07-07,-1.03,-0.54,-3.39,1.86,1.49,6.55, repro
2006-07-08,-0.96,-1.77,0.56,1.9,1.53,6.73, repro
2006-07-09,-0.91,-1.38,2.33,2,1.61,7.1, repro
2006-07-10,-1.51,-1.47,4.78,1.99,1.6,7.1, repro
2006-07-11,-2.41,-1.57,7.13,1.89,1.55,6.82, repro
2006-07-12,-1.87,-1.27,1.54,1.96,1.58,7.01, repro
2006-07-13,-1.4,-1.03,2.16,1.86,1.51,6.67, repro
2006-07-14,-0.88,-0.66,4.14,2.13,1.7,7.63, repro
2006-07-15,-0.56,-1.15,5.32,2.01,1.63,7.25, repro
2006-07-16,-1.47,-1.44,0.07,2.01,1.62,7.25, repro
2006-07-17,-1.12,-0.93,1.64,1.91,1.56,6.93, repro
2006-07-18,-1.81,-1.44,5.68,1.78,1.45,6.39, repro
2006-07-19,-1,-1.49,3.41,1.91,1.55,6.82, repro
2006-07-20,-1.24,-0.9,2.14,2.01,1.62,7.16, repro
2006-07-21,-0.68,-0.67,5.17,1.94,1.59,6.96, repro
2006-07-22,-1.77,-2.15,2.32,2.06,1.68,7.39, repro
2006-07-23,-1.48,-0.5,9.43,1.96,1.62,7.06, repro
2006-07-24,-0.65,-1.07,6.05,1.95,1.6,6.98, repro
2006-07-25,-1.24,-0.82,6.14,2.13,1.74,7.57, repro
2006-07-26,-0.99,-2.14,7.53,2.19,1.76,7.78, repro
2006-07-27,-0.98,-2.74,4.44,1.88,1.56,6.75, repro
2006-07-28,-1.85,-1.31,1.58,2.09,1.7,7.48, repro
2006-07-29,-0.7,-2.82,-0.18,1.89,1.58,6.8, repro
2006-07-30,0.37,-2.49,1.23,1.85,1.54,6.67, repro
2006-07-31,-1.44,-2.53,8.03,1.82,1.52,6.6, repro
2006-08-01,-1.35,-1.59,2.97,1.75,1.47,6.3, repro
2006-08-02,-0.57,-2.33,2.29,1.84,1.53,6.69, repro
2006-08-03,-1.5,-1.86,0.85,1.87,1.56,6.78, repro
2006-08-04,-1,-2.23,2.34,1.93,1.62,6.98, repro
2006-08-05,-1.9,-2.7,6.71,1.79,1.49,6.52, repro
2006-08-06,-2.05,-4.4,12.22,1.97,1.65,7.12, repro
2006-08-07,-0.77,-2.81,12.83,2.24,1.8,8.13, repro
2006-08-08,0.25,-3.48,4.77,2.01,1.65,7.21, repro
2006-08-09,-2.34,-2.31,7.95,1.9,1.56,6.86, repro
2006-08-10,-1.73,-5.19,2.89,1.96,1.58,7, repro
2006-08-11,-2.78,-2.88,4.33,1.96,1.59,6.99, repro
2006-08-12,-2.81,-2.97,3.28,1.79,1.48,6.48, repro
2006-08-13,-2.47,-3.01,4.53,1.78,1.46,6.47, repro
2006-08-14,-3.04,-4.22,9.75,1.67,1.39,6.13, repro
2006-08-15,-2.12,-4.49,10.03,2.08,1.66,7.34, repro
2006-08-16,-2.08,-3.44,5.13,1.77,1.45,6.37, repro
2006-08-17,-3.04,-3.23,6.39,1.67,1.37,6.07, repro
2006-08-18,-1.98,-3.25,3.71,1.78,1.46,6.4, repro
2006-08-19,-1.76,-4.06,5.11,1.78,1.47,6.42, repro
2006-08-20,-1.35,-4.37,13.66,1.88,1.56,6.82, repro
2006-08-21,-3.56,-3.94,6.48,1.76,1.47,6.36, repro
2006-08-22,-2.83,-3.89,11.21,1.8,1.5,6.52, repro
2006-08-23,-1.84,-2.6,12.25,1.84,1.54,6.67, repro
2006-08-24,-2.01,-3.07,9.22,1.76,1.48,6.44, repro
2006-08-25,-2.27,-3.65,9.18,1.74,1.48,6.39, repro
2006-08-26,-2.42,-3.67,13.18,1.71,1.48,6.33, repro
2006-08-27,-2.06,-4.69,8.84,1.75,1.49,6.41, repro
2006-08-28,-2.85,-3.61,11.41,1.77,1.51,6.54, repro
2006-08-29,-0.65,-5.35,3.62,1.91,1.61,6.94, repro
2006-08-30,-1.35,-4.61,6.39,1.9,1.62,6.99, repro
2006-08-31,-2.49,-4.31,3.45,1.81,1.57,6.59, repro
2006-09-01,-2.96,-4.68,3.7,1.85,1.59,6.79, repro
